Alimento,Palatabildiade Café (0010),Palatabildiade Almoço (0010),Palatabildiade Jantar (0010),Preço,Alfa0tocoferol (Vitami0 E) (mg), Açúcar de adição (g),Carboidrato disponível (g),Carboidrato total (g), Cinzas (g), Cobre (mg), Colesterol (mg), Cálcio (mg), Energia (kJ/kcal), Equivalente de folato (mcg), Ferro (mg), Fibra alimentar (g), Fósforo (mg), Lipídios (g), Magnésio (mg), Manganês (mg), Niaci0 (mg), Potássio (mg), Proteí0 (g), Riboflavi0 (mg), Sal de adição (g), Selênio (mcg), Sódio (mg), Tiami0 (mg), Umidade (g), Vitami0 A (RAE) (mcg), Vitami0 A (RE) (mcg), Vitami0 B12 (mcg), Vitami0 B6 (mg), Vitami0 C (mg), Vitami0 D (mcg), Zinco (mg), Ácidos graxos monoinsaturados (g), Ácidos graxos poliinsaturados (g), Ácidos graxos saturados (g), Ácidos graxos 0ans (g), Álcool (g)
Bebida. café. descafei0do. infusão. com açúcar,10,5,2,4,0.00,6.00,6.46,7.27,0.03,0.02,0.00,5.31,31,0.00,0.21,0.81,3.91,0.30,6.35,0.16,0.20,50.3,0.23,0.01,0.00,0.00,2.20,0.00,92.2,0.00,0.00,0.00,0.00,0,0.00,0.02,0.02,0.11,0.11,0.00,0.00
Bebida. café. descafei0do. infusão. sem açúcar,9,4,2,4,0.10,0.00,1.69,1.69,0.23,0.05,0.00,2.00,9,1.00,0.13,0.00,7.00,0.18,80.0,0.05,5.21,115,0.10,0.18,0.00,0.00,14.0,0.00,97.8,0.00,0.00,0.00,0.00,0.20,0.00,0.05,0.00,0.09,0.09,0.00,0.00
Bebida. café. infusão 10%. com açúcar,10,5,2,4,0.03,6.00,9.28,9.28,0.39,0.01,0.00,3.19,40,1.84,0.01,0.00,8.74,0.06,8.93,0.04,0.18,143,0.67,0.07,0.00,0.05,1.92,0.01,89.6,0.00,0.00,0.00,0,0.00,0.00,0.00,0.05,0,0.01,0.00,0.00
Bebida. café. infusão 10%. sem açúcar,9,4,2,4,0.04,0.00,1.68,1.68,0.36,0.01,0.00,3.16,10,2.00,0,0.00,9.50,0.07,9.66,0.04,0.19,155,0.67,0.08,0.00,0.00,1.03,0.01,97.2,0.00,0.00,0.00,0,0.00,0.00,0,0.05,0,0.01,0,0.00
Bebida. café. infusão 10%. sem açúcar. com farinha de mandioca,8,4,2,4,0.16,0,41.6,44.6,0.58,0.04,0.00,34.1,179,22.2,0.55,3.01,25.6,0.24,23.4,0.74,0.00,248,1.18,0.04,0,0.53,1.03,0.08,53.4,0.11,0.22,0.00,0.02,0.00,0.00,0.21,0.10,0.00,0.08,0.08,0.00
Bebida. café. infusão 6% 0 suave. com açúcar,10,5,2,4,0.02,6.00,6.85,6.85,0.23,0.01,0.00,4.53,29,1.13,0.13,0.00,6.12,0.04,7.08,0.14,0.11,98.4,0.40,0.05,0.00,0,1.33,0.01,92.5,0.00,0.00,0.00,0,0,0.00,0.01,0.03,0.00,0.00,0.00,0.00
Bebida. café. infusão 6% 0 suave. sem açúcar,9,4,2,4,0.02,0.00,1.01,1.01,0.22,0.00,0.00,1.90,6,1.20,0,0.00,5.70,0.04,5.80,0.02,0.12,93.4,0.40,0.05,0.00,0.00,0.62,0.01,98.3,0.00,0.00,0.00,0,0.00,0.00,0,0.03,0,0.00,0.00,0.00
Bebida. café. infusão 8% 0 médio. com açúcar,10,5,2,4,0.03,6.00,7.16,7.16,0.30,0.01,0.00,5.13,31,1.50,0.13,0.00,7.90,0.05,8.90,0.15,0.14,127,0.53,0.06,0.00,0,1.52,0.01,92.0,0.00,0.00,0.00,0,0,0.00,0.01,0.04,0.00,0.01,0.00,0.00
Bebida. café. infusão 8% 0 médio. sem açúcar,9,4,2,4,0.03,0.00,1.34,1.34,0.29,0.01,0.00,2.53,8,1.60,0,0.00,7.60,0.06,7.73,0.03,0.15,124,0.54,0.06,0.00,0.00,0.82,0.01,97.8,0.00,0.00,0.00,0,0.00,0.00,0,0.04,0,0.01,0.00,0.00
Bebida. café. solúvel. em pó,10,5,2,7.3,0.00,0.00,75.4,75.4,8.80,0.14,0.00,141,355,0.00,4.41,0.00,303,0.50,327,1.71,28.2,3535,12.2,0.07,0.00,12.6,37.0,0.01,3.10,0.00,0.00,0.00,0.03,0.00,0.00,0.35,0.04,0.20,0.20,0.00,0.00
Bebida. cappuccino (leite des0tado. café 0 infusão 10% e cacau em pó). com açúcar,9,5,2,4.9,0.04,6.00,11.4,13.1,0.91,0.20,2.65,104,70,5.75,0.78,1.74,97.6,0.91,34.2,0.31,1.20,210,3.17,0.21,0.00,0,38.2,0.04,81.9,6.35,0,0.39,0.01,0,0.00,0.60,0.23,0.02,0.38,0.00,0.00
Bebida. cappuccino (leite des0tado. café 0 infusão 10% e cacau em pó). sem açúcar,8,4,2,5,0.05,0.00,5.84,7.69,0.94,0.21,2.82,107,49,6.12,0.69,1.85,103,0.97,34.6,0.20,1.27,212,3.35,0.23,0.00,0.72,39.8,0.04,87.0,6.75,0,0.41,0.01,0,0.00,0.63,0.24,0.02,0.41,0.00,0.00
Bebida. capuccino 0adicio0l (leite des0tado. café 0 infusão 10% e canela em pó). com açúcar,8,7,2,0.7,0.06,6.00,10.6,11.1,0.68,0.02,28.4,103,55,4.26,0.21,0.53,61.4,0.27,11.6,0.31,1.07,149,2.23,0.20,0.00,0.03,35.6,0.03,85.7,6.18,0,0.37,0.00,0.04,0.00,0.28,0.06,0.01,0.18,0.00,0.00
Bebida. capuccino 0adicio0l (leite des0tado. café 0 infusão 10% e canela em pó). sem açúcar,6,5,2,0.65,0.07,0.00,4.93,5.46,0.68,0.02,28.4,105,33,4.48,0.08,0.53,63.5,0.29,10.6,0.19,1.12,148,2.32,0.21,0.00,0.03,36.4,0.03,91.3,6.45,0,0.38,0.00,0.04,0.00,0.29,0.06,0.01,0.18,0.00,0.00
Bebida. capuccino 0adicio0l (leite integral. café 0 infusão 10% e canela em pó). com açúcar,9,8,2,0.7,0.08,6.00,10.6,11.1,0.61,0.02,8.29,85.5,72,4.05,0.26,0.53,58.8,2.20,11.2,0.31,1.08,144,2.20,0.18,0.00,3.25,43.8,0.03,83.9,32.8,33.2,0.25,0.00,0.04,0.00,0.29,0.64,0.08,1.35,0.00,0.00
Bebida. capuccino 0adicio0l (leite integral. café 0 infusão 10% e canela em pó). sem açúcar,7,7,2,0.65,0.09,0.00,4.90,5.43,0.61,0.02,8.66,86.0,50,4.27,0.14,0.53,60.8,2.30,10.2,0.19,1.13,142,2.29,0.19,0.00,3.40,45.0,0.03,89.4,34.3,34.7,0.26,0.00,0.04,0.00,0.29,0.67,0.09,1.41,0.00,0.00
Bebida. chá. infusão. com açúcar (média de várias ervas),10,9,9,0.26,0.00,6.00,6.42,6.42,0.03,0.01,0.00,8.81,26,1.79,0.13,0.00,0.80,0.02,3.95,0.13,0,18.4,0.02,0.23,0.00,0.00,0.76,1.64,93.5,0.00,0.00,0.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Bebida. chá. infusão. sem açúcar (média de várias ervas),8,7,7,0.25,0.00,0.00,0.56,0.56,0.00,0,0.00,0.94,2,1.00,0,0.00,0.72,0.02,1.29,0.12,0.00,12.2,0.00,0.24,0.00,0.00,0.21,0,99.4,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00
Bebida. infusão. erva0mate. chimarrão. (70g de matéria seca 0 30% de ramos e 70% de folhas 0 em 1 L de água),10,9,9,0.16,0.00,0.00,0.30,0.30,0.00,0.03,0.00,4.40,1,5.00,0.03,0.00,4.10,0.00,18.8,3.40,0.00,68.3,0.00,0,0.00,0.00,0.32,0.01,99.7,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.01,0.00,0.00,0.00
Bebida. infusão. hortelã rasteira. planta. folha. com açúcar,9,9,8,0.2,0.00,6.00,6.18,6.18,0.03,0.00,0.00,11.4,25,0.94,0.13,0.00,0.76,0.00,5.57,0.12,0,11.3,0.02,0.01,0.00,0.00,0.77,0.01,93.8,0.00,0.00,0.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Bebida. infusão. hortelã rasteira. planta. folha. sem açúcar,8,7,6,0.22,0.00,0.00,0.30,0.30,0.00,0,0.00,184,1,1.00,0.08,0.00,0.00,0.00,83.8,0,0.00,13.8,0.00,0.00,0.00,0,0.37,0.01,99.7,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0
Berinjela. com casca. cozida. dre0da. com óleo de soja. com sal,4,7,7,0.6,0.70,0.00,4.17,6.04,0.50,0.06,0.00,14.0,47,9.78,0.29,1.86,19.5,2.61,11.4,0.14,0,136,0.77,0,0.32,0.11,129,0.05,90.1,14.6,29.2,0.00,0,0,0.00,0.17,0.58,1.52,0.41,0.01,0.00
Berinjela. com casca. cozida. dre0da. sem óleo. com sal,3,6,6,0.58,0.42,0.00,4.29,6.20,0.19,0.06,0.00,14.4,26,10.1,0.30,1.91,20.0,0.24,11.7,0.15,0,140,0.79,0,0.00,0.11,129,0.05,92.6,13.3,26.7,0.00,0,0,0.00,0.18,0.02,0.10,0.05,0.00,0.00
Berinjela. refogada (com óleo. cebola e alho). com sal,4,9,9,0.6,0.40,0.00,2.72,5.89,0.83,0.08,0.00,14.9,34,14.4,0.29,3.17,26.4,1.35,18.0,0.12,0,241,1.28,0.05,0.32,0.14,127,0.04,90.6,12.7,25.3,0.00,0.01,3.16,0.00,0.15,0.29,0.78,0.21,0.01,0.00
Beterraba. cozida. dre0da. sem óleo. com sal,3,8,8,0.4,0.02,0.00,4.24,6.27,0.94,0.03,0.00,13.4,27,50.7,0.21,2.03,26.2,0.09,14.4,0.16,0.00,213,1.22,0.00,0.32,0.18,147,0.08,91.5,0.89,1.77,0.00,0.00,1.08,0.00,0.31,0.02,0.03,0.01,0.00,0.00
Beterraba. refogada (com óleo. cebola e alho). com sal,3,9,9,0.45,0.18,0.00,9.33,13.3,1.34,0.09,0.00,17.1,66,97.6,0.38,3.94,25.5,1.31,25.3,1.40,0,437,2.34,0,0.32,0.26,138,0.04,81.8,0.89,1.79,0.00,0.06,3.43,0.00,0.60,0.30,0.76,0.20,0.01,0.00
Beterraba. refogada (com óleo. cebola e alho). sem sal,2,7,7,0.45,0.18,0.00,9.36,13.3,1.02,0.10,0.00,17.1,67,97.9,0.38,3.95,25.6,1.31,25.4,1.40,0,439,2.35,0,0.00,0.26,11.1,0.05,82.0,0.90,1.79,0.00,0.06,3.44,0.00,0.60,0.30,0.76,0.20,0.01,0.00
Beterraba. sem casca. cozida. dre0da. sem óleo. sem sal,6,6,,0.4,0.02,0.00,4.25,6.29,0.62,0.03,0.00,13.3,27,50.9,0.21,2.04,26.3,0.09,14.4,0.17,0,214,1.23,0,0.00,0.18,19.9,0.08,91.8,0.89,1.78,0.00,0,1.08,0.00,0.31,0.02,0.03,0.01,0.00,0
Beterraba. sem casca. crua,5,9,9,0.4,0.02,0.00,7.74,11.1,0.87,0.08,0.00,14.4,46,122,0.32,3.37,19.4,0.09,21.7,1.23,0,375,1.95,0,0.00,0.20,9.72,0.04,86.0,0.88,1.76,0.00,0.04,3.12,0.00,0.52,0.03,0.06,0.03,0.00,0.00
Bife à cavalo. com sal,4,10,10,4.65,0,0,0.00,0.00,1.58,0.06,255,26.0,284,0,2.10,0.00,214,21.0,19.4,0.02,2.90,270,23.5,0.10,0.45,0,270,0.05,53.8,0,0,0,0,0,0,3.19,8.16,3.25,7.90,0,0.00
Bife à parmegia0. com sal,4,10,10,5.6,1.13,0,10.5,11,2.08,0.11,85.3,99.1,374,4.38,2.36,0.55,215,22.3,26.8,0.24,2.32,282,18.9,0.06,0.5,2.08,399,0.08,55.8,26.5,41.8,1.31,0.01,4.38,0.49,2.65,7.13,6.04,7.31,0.09,0
Biscoito. arroz,7,4,6,5,0.62,0,77.3,81.5,1.70,0.45,0.00,11.0,376,21.0,1.49,4.20,360,2.80,131,3.73,7.81,290,8.20,0.17,0,24.6,166,0.06,5.80,0.00,0.00,0.00,0.15,0.00,0.00,3.00,1.03,0.99,0.57,0,0.00
Bobó de camarão. com sal,4,10,10,9.3,1.24,0.00,10.5,10.7,1.09,0.11,50.2,29.4,108,10.9,1.19,2.19,71.4,4.60,14.7,0.07,0.26,106,4.54,0,0.47,0.26,281,0.03,77.1,218,381,0.34,0.04,12.1,0.02,0.35,1.55,1.30,1.59,0.01,0.00
Bobó de frutos do mar. com sal,4,10,10,8.5,1.09,0.00,10.8,10.9,1.19,0.23,32.3,22.8,112,11.4,3.51,2.19,52.6,4.67,18.0,0.18,0.61,138,5.22,0,0.47,4.74,276,0.05,76.0,224,381,2.50,0.07,12.9,0.00,0.57,1.56,1.34,1.59,0.01,0.00
Bobó de peixe. com sal,3,9,9,6.7,0.93,0.45,8.92,9.80,0.76,0.05,0.52,12.8,110,13.0,0.32,0.88,57.9,5.70,17.2,0.08,1.19,159,5.37,0.02,0.00,10.6,215,0.04,78.2,166,329,0.40,0.07,11.3,0.83,0.20,1.62,1.65,3.24,0.01,0.00
Bolinho de bacalhau. frito. caseiro,4,10,10,4.3,0.55,0,12.3,13.1,2.04,0.09,49.9,20.3,160,25.7,0.65,0.78,48.4,8.76,12.5,0.08,1.41,195,7.59,0.04,0.27,13.3,434,0.07,28.5,10,11.5,0.76,0.06,11.8,0.39,0.4,2.19,4.74,1.51,0.05,0
Bolinho de chuva. frito. com açúcar e canela,10,6,5,1.5,2.64,15.0,60.0,61.6,0.70,0.55,38.6,167,342,332,7.74,1.55,355,7.37,51.7,0.47,3.03,436,8.17,0.63,0.00,26.4,237,0.37,21.7,207,208,1.18,0,0,1.71,2.59,1.81,3.41,1.61,0.09,0.00
Bolinho de mandioca (aipim. macaxeira). recheada com carne moída. caseiro. frito,4,9,9,2,0.17,0,10.9,11.7,0.58,0.04,3.65,5.34,87,4.62,0.18,0.79,19.5,4.11,9.72,0.02,0.2,50.5,1.32,0.01,0.5,0.41,203,0.01,32.2,2.85,5.56,0.17,0.01,2.22,0,0.43,1.06,2.26,0.77,0.03,0
Bolo de aveia. caseiro,7,5,5,5,0.34,0.00,54.9,59.3,2.09,0.18,92.5,164,350,67.2,2.82,4.37,254,9.54,47.2,1.50,1.65,388,9.09,0.12,25.0,1.98,247,0.19,20.0,51.7,52.1,0.25,0.02,0.36,0.36,1.34,3.04,1.31,4.08,0.16,0.00
Bolo de cenoura. com cobertura de chocolate e leite de coco. caseiro,10,6,6,7,0.43,16,27.9,30,0.56,0.2,28.9,13.4,176,29,1.5,2.02,59,5.38,26.6,0.26,0.24,120,3.12,0.05,0,2.66,18.5,0.04,11,35.5,58.3,0.06,0.01,0.28,0.15,0.52,1.28,2.1,1.68,0.03,0
Bolo de milho. com goiabada. sem glúten. sem lactose. caseiro,9,6,6,8,0.41,10,33.3,34.9,0.62,0.06,28.9,32.1,197,4.08,1.23,1.64,80.8,5.49,17.1,0.31,0.31,146,2.93,0.04,0,1.98,70,0.06,6.03,19.7,26.7,0.06,0,3.43,0.15,0.42,1.39,1.66,2.24,0.01,0
Bolo de rolo,10,6,6,10,0.39,0,20.1,20.4,0.24,0.03,78,14.7,185,34.8,1.07,0.27,40.4,10.4,8.38,0.31,0.09,58.4,2.67,0.05,0,0.74,22.5,0.03,6.93,107,109,0.14,0.01,0,0.25,0.28,2.85,0.36,5.85,0.31,0
Bolo. abacaxi. caseiro,9,6,6,7,0.35,0,25.8,26.2,0.36,0.04,60.9,19.4,196,32,1.07,0.41,43,8.86,7.95,0.19,0.32,61.3,3.13,0.08,0,3.18,26.8,0.05,11.5,110,111,0.13,0,1.3,0.22,0.32,2.39,0.34,4.91,0.25,0
Bolo. ba00. simples. caseiro,10,6,6,7,0.18,10,23.8,24.4,0.43,0.04,37.5,22.5,150,26.9,0.91,0.64,42.1,4.82,11,0.13,0.36,104,2.79,0.07,0,2.69,23.1,0.04,17.5,54.1,54.8,0.11,0,2.94,0.14,0.29,1.31,0.23,2.61,0.12,0
Bolo. baunilha. mistura p/. preparado,9,6,6,6,0.28,0,24.4,24.5,0.7,0.04,33.3,27.8,164,37,1.15,0,147,5.95,7.92,0.19,0,69.8,3.35,0.03,0,0,92.8,0.07,15.6,0,0,0.17,0,0,0.34,0.33,1.58,0.95,2.58,0.57,0
Bolo. cenoura. com cobertura de chocolate. caseiro,10,6,6,7.5,0.48,0,31,32,0.43,0.09,33.3,11.8,183,31.1,1.22,1.04,42.2,5.08,13.1,0.17,0.21,80.8,2.86,0.05,0,2.54,18.8,0.04,9.6,39.9,65.5,0.07,0.01,0.31,0.17,0.35,1.32,2.35,1.11,0.04,0
Bolo. cenoura. simples. caseiro,9,6,6,6,0.53,20,31.3,32,0.38,0.05,36.2,8.96,184,34.1,1.1,0.64,35.5,5.13,6.75,0.08,0.19,62.3,2.87,0.05,0,2.57,19.6,0.04,9.64,44.3,72.8,0.07,0,0.35,0.19,0.29,1.32,2.6,0.92,0.04,0
Bolo. chocolate. com cobertura. chocolate. caseiro,9,6,6,8,0.3,0,27.2,28.3,0.58,0.1,47.9,30.3,205,29.6,1.3,1.17,78.4,9.05,19.7,0.26,0.22,107,3.29,0.07,0,3.05,75.2,0.05,8.76,55,55.7,0.11,0.01,0,0.19,0.44,2.71,0.82,4.05,0.76,0
Bolo. fubá. caseiro,8,6,6,5,0.7,12,24.8,25.4,0.36,0.05,48.3,19.9,183,38.9,1.15,0.58,48.6,7.72,10.2,0.07,0.38,61.5,3.29,0.09,0,3.39,29.8,0.05,13.3,27.4,28.7,0,0,0,0,0.39,2.05,3.86,1.54,0,0
Bolo. laranja. simples. caseiro,10,6,6,7,0.27,12,22.8,23.3,0.33,0.03,58.7,11.1,141,33.4,1.04,0.51,41,4.09,6.73,0.07,0.2,61.1,3.19,0.07,0,3.1,24.9,0.05,19.1,53.8,54.4,0.11,0,5.97,0.28,0.31,1.21,0.28,1.97,0.1,0
Bolo. limão. com recheio. limão. caseiro,10,6,6,6,0.21,0,23.7,24.1,0.42,0.03,47,34.4,143,26.3,0.85,0.4,50.1,3.88,7.59,0.06,0.16,76.9,3.26,0.09,0,3.84,28.4,0.07,18.3,47.9,48.4,0.12,0.05,4.06,0.23,0.35,1.12,0.24,1.95,0.1,0
Bolo. milho. mistura p/. preparado,9,6,6,5,1.12,0,44.4,45.1,0.98,0.04,81.7,82.6,310,65.9,2.29,0.71,128,12.4,10.2,0.11,0,118,4.80,0.05,0,5.74,133,0.11,36.7,60.0,61.1,0.31,0.00,0,0.00,0.44,3.90,1.50,4.50,1.99,0.00
Bolo. 0igo. c/ recheio e cobertura. chantilly. morango e merengue. caseiro,9,4,4,11.5,0.29,0,22.5,22.9,0.31,0.03,42.7,17.3,163,22.9,0.7,0.39,36.4,7.51,6.06,0.06,0.31,53.2,2.55,0.07,0,2.47,26.6,0.03,16.7,78.2,79.2,0.09,0,6.98,0.19,0.22,1.81,0.27,3.77,0.2,0
Bolo. 0igo. c/ recheio. de chocolate branco. caseiro,10,4,4,7.5,0.38,0,26.5,26.8,0.43,0.03,60.5,40.8,213,30.2,0.96,0.33,47.6,10.4,8.42,0.06,0.3,73,3.4,0.08,0,2.97,34.7,0.04,8.93,108,110,0.13,0.03,0,0.24,0.36,2.52,0.44,5.74,0.25,0
Bolo. 0igo. c/ recheio. limão. caseiro,8,4,4,6,0.34,0,27.2,27.6,0.46,0.03,57.3,39.2,204,30.9,0.96,0.34,56.8,8.93,8.2,0.06,0.3,78.9,3.6,0.1,0,4.31,33.3,0.05,9.45,108,109,0.16,0.05,0.56,0.22,0.37,2.4,0.34,5,0.26,0
Bolo. 0igo. c/ recheio. nozes. c/ cobertura. merengue. caseiro,10,4,5,7,0.3,0,26.1,26.7,0.44,0.06,52.4,27.3,216,28.3,0.93,0.62,59.9,10.7,13.2,0.24,0.38,79.5,3.65,0.08,0,3.21,30.7,0.05,8.52,95.6,97,0.12,0.01,0,0.21,0.37,2.6,2.33,4.63,0.22,0
Bolo. 0igo. c/ recheio. nozes. caseiro,8,5,5,9,0.34,0,24.3,25,0.46,0.07,59.5,29.2,219,31.9,1.04,0.66,64.7,11.8,13.7,0.24,0.35,82.8,3.76,0.08,0,3.32,29.9,0.06,9.02,108,110,0.13,0.01,0,0.24,0.4,2.88,2.37,5.21,0.25,0
Bolo. 0igo. caseiro. c/ cobertura. de chocolate,8,4,4,4,0.37,14,27.5,28.3,0.44,0.08,65.2,22.4,214,33.9,1.29,0.83,54.9,9.83,13.9,0.17,0.38,78.8,3.55,0.09,0,3.56,29.1,0.05,7.87,116,117,0.14,0,0,0.23,0.42,2.66,0.37,5.48,0.28,0
Bolo. 0igo. caseiro. c/ recheio e cobertura. chantilly. morango. leite condensado e suspiro,7,4,4,8,0.47,0,23.9,24.2,0.37,0.02,28.4,28.1,165,21.1,0.64,0.33,42.4,7.1,6.46,0.05,0.29,64,2.71,0.08,0,2.97,33.2,0.03,15.6,49.7,50.1,0.09,0.03,5.34,0.19,0.25,1.76,1.48,2.02,0.66,0
Bolo. 0igo. simples. artesa0l,7,4,4,3,0.4,15,27.5,27.9,0.39,0.04,71.6,20.7,218,38.6,1.18,0.41,49.6,10.4,7.66,0.07,0.37,60.1,3.63,0.09,0,3.71,31,0.05,7.72,129,131,0.15,0,0,0.26,0.36,2.81,0.4,5.78,0.3,0
Bomba. c/ recheio de creme de confeiteiro (pâtissière). c/ cobertura de chocolate. vega0,7,3,3,7.5,0.2,3.54,21.9,22.6,0.86,0.09,0.13,33.3,130,3.36,1.37,0.71,72.1,3.62,16.4,0.24,0.09,136,1.88,0.01,0.18,0.41,175,0.09,31.1,4.48,4.52,0,0.08,8.73,0,0.48,0.92,0.82,1.25,0.02,0
Bombom. chocolate ao leite. Alpino,7,4,4,3.5,0.27,0,29.5,30.5,0.35,0.16,8.61,96.1,274,5.45,0.79,0.96,106,15.8,28.7,0.15,0,178,3.08,0.11,0,2.27,38.8,0.03,0.35,0,0,0.38,0,0,0,0.53,5.21,0.47,9.12,0.14,0
Bombom. chocolate ao leite. c/ flocos de arroz. ao leite. Crunch,7,3,3,3,0.24,0,31.3,31.3,1.25,0.15,7.49,94.4,258,5.45,0.78,0,104,13.7,28.2,0.15,0,175,2.45,0.11,0,2.23,38.1,0.02,1.25,0,0,0.37,0,0,0,0.53,4.53,0.41,7.94,0.12,0
Bombom. chocolate ao leite. c/ recheio cremoso de morango. Sensação,7,4,4,3.25,0.17,0,35.6,35.6,0.45,0.15,5.41,93.3,240,5.45,0.77,0,103,9.91,27.9,0.15,0,173,2.25,0.11,0,2.2,37.6,0.02,1.8,0,0,0.37,0,0,0,0.52,3.27,0.29,5.73,0.09,0
Bombom. chocolate ao leite. c/ recheio de ba00. Caribe,7,3,3,3.25,0.1,0,35.5,37.4,0.8,0.14,3.12,87.1,201,5.45,0.72,1.9,96.7,5.73,26,0.14,0,161,1.04,0.1,0,2.06,35.1,0.02,5,0,0,0.34,0,0,0,0.48,1.89,0.17,3.31,0.05,0
Bombom. chocolate ao leite. c/ recheio de castanha de caju. Nougat,7,3,3,3.25,0.24,0,32.7,33.3,0.4,0.16,7.64,96.2,265,5.45,0.79,0.65,106,14,28.7,0.15,0,178,2,0.11,0,2.27,38.8,0.03,0.3,0,0,0.38,0,0,0,0.54,4.63,0.42,8.09,0.13,0
Bombom. chocolate ao leite. Lollo,7,3,3,4.5,0.16,0,37.5,37.5,0.25,0.15,5.05,93.9,239,5.45,0.77,0,104,9.25,28,0.15,0,174,1.5,0.11,0,2.22,37.9,0.02,1.5,0,0,0.37,0,0,0,0.52,3.06,0.28,5.35,0.08,0
Bombom. chocolate ao leite. recheado c/ amendoim e caramelo. Charge,6,3,3,3,0.19,0,33.4,33.4,0.65,0.15,5.98,93.1,244,5.45,0.77,0,103,11,27.8,0.15,0,172,3.1,0.11,0,2.2,37.6,0.02,1.9,0,0,0.37,0,0,0,0.52,3.62,0.33,6.33,0.1,0
Bombom. chocolate ao leite. recheado c/ amendoim e castanha de caju. Crocante,6,4,4,3,0.23,0,29.3,31.3,0.7,0.16,7.2,96,257,5.45,0.79,2,106,13.2,28.7,0.15,0,178,4.4,0.11,0,2.27,38.7,0.03,0.4,0,0,0.38,0,0,0,0.53,4.36,0.39,7.63,0.12,0
Bombom. chocolate ao leite. recheado c/ caramelo. Smash,6,4,4,3,0.14,0,38,38,0.59,0.15,4.53,93.7,232,5.45,0.77,0,103,8.3,28,0.15,0,173,1.47,0.11,0,2.21,37.8,0.02,1.62,0,0,0.37,0,0,0,0.52,2.74,0.25,4.8,0.07,0
Bombom. chocolate ao leite. recheado c/ coco. It de coco,6,3,3,3,0.2,0,34.4,36.1,1.5,0.16,6.22,94.9,243,5.45,0.78,1.7,105,11.4,28.3,0.15,0,175,0,0.11,0,2.24,38.3,0.03,1,0,0,0.37,0,0,0,0.53,3.77,0.34,6.59,0.1,0
Bombom. chocolate ao leite. recheado c/ coco. Prestígio,5,4,4,3,0.18,0,33.2,35.1,0.4,0.15,5.63,91.4,234,5.45,0.75,1.96,101,10.3,27.3,0.14,0,169,1.36,0.1,0,2.16,36.9,0.02,2.8,0,0,0.36,0,0,0,0.51,3.41,0.31,5.97,0.09,0
Bombom. chocolate ao leite. recheado c/ leite condensado caramelizado e flocos. Chokito,5,3,3,3.25,0.11,0,39.8,39.8,0.45,0.15,3.51,93.1,222,5.45,0.77,0,103,6.43,27.8,0.15,0,172,1.43,0.11,0,2.2,37.6,0.02,1.9,0,0,0.37,0,0,0,0.52,2.12,0.19,3.72,0.06,0
Bombom. chocolate branco recheado c/ leite condensado caramelizado e flocos. Chokito,5,3,3,3.25,0.15,0,36.7,36.7,0.55,0.15,4.9,92.9,234,5.45,0.77,0,103,8.98,27.8,0.15,0,172,1.8,0.11,0,2.19,37.5,0.02,2,0,0,0.37,0,0,0,0.52,2.97,0.27,5.19,0.08,0
Bombom. chocolate branco. c/ recheio de castanha de caju. Operata,8,4,3,3.25,0.25,0,32.2,32.5,0.4,0.16,7.86,96.1,268,5.45,0.79,0.25,106,14.4,28.7,0.15,0,178,2.4,0.11,0,2.27,38.8,0.03,0.35,0,0,0.38,0,0,0,0.53,4.76,0.43,8.33,0.13,0
Bombom. chocolate branco. Galak,9,5,5,3,0.27,0,30.1,30.1,0.65,0.16,8.66,95.8,274,5.45,0.79,0,106,15.9,28.6,0.15,0,177,2.89,0.11,0,2.26,38.6,0.03,0.51,0,0,0.38,0,0,0,0.53,5.24,0.47,9.17,0.14,0
Bombom. leite em pó. caseiro,6,3,3,3,0.13,0,27.7,27.8,1.27,0.04,16.7,178,196,8.44,0.17,0.07,250,7.12,17.2,0.02,0,241,5.33,0.2,0,3.43,71.2,0.05,8.46,65,65.9,0.65,0,1.71,0.1,0.58,1.49,0.12,4.76,0,0
Bombom. tipo Ferrero Rocher. caseiro,10,5,5,4.5,2.08,0,20,21.9,0.98,0.22,8.02,69.5,260,11.4,1.43,1.86,141,17.4,60.3,0.24,0.47,210,4.64,0.14,0,1.86,26.7,0.06,5.06,9.65,9.93,0.16,0.15,0.18,0.07,0.91,7.16,1.75,6.59,0.12,0
Bombom. tipo Rafaello. caseiro,9,5,5,3.25,1.62,0,19.7,21,0.73,0.03,5.58,71.2,220,5.71,0.37,1.29,37.3,13.9,25.5,0.08,0.2,122,3.47,0.07,0,1.26,18,0.01,10.9,10,10.2,0,0.11,0.28,0.02,0.53,2.17,0.88,6.79,0.03,0
Brigadeiro. c/ Amarula. caseiro,8,5,5,3,0.13,0,27.4,27.5,0.73,0.05,11.9,95.1,181,5.22,0.24,0.14,75.8,6.47,14.2,0.04,0.16,133,2.87,0.12,0,1.7,52.5,0.03,12.1,25.9,26.4,0.2,0.07,0.21,0.07,0.34,2.73,0.83,2.95,0.06,0.32
